Cod;Cargo
0001;AG.PORT.
0002;TEC.ADM.
0003;AG.ADM.
0004;AG. DE ENDEMIAS
0007;AG.SERV.GER.
0009;AG.CONSERV.
0010;COORDENADOR I
0012;ENGENHEIRO CIVIL
0014;TEC.HIGIENE.BUCAL
0017;AUX.ENFERM.
0027;TEC.INFORM.
0031;SEC.EXECUTIVO(A)
0033;MOTORISTA
0034;MEDICO(A)
0035;TEC.CONTAB.
0037;ENFERMEIRO(A)
0042;CHEFE DE DIVISAO
0043;TEC.TRIBUT.
0044;CONTADOR(A)
0046;ASS.ASS.COMUNIT.
0047;TEC.VIG.SANIT.
0051;AG.COMUNIC.
0052;AUX.TECNICO
0053;AUX.LIMPEZA
0054;FUNCAO GRATIFICADA
0056;ENCANADOR
0057;ASS.ESPECIAL
0058;ASS.JURIDICA
0060;AG.OPERACOES
0064;AG.SEG.PATRIMON.
0065;TEC.LABOR.
0066;AG.SAUDE
0071;TEC.TRANSITO
0073;ASS.SOCIAL
0074;PSICOLOGO(A)
0079;ADMINISTRADOR
0080;TEC.RADIOLOGIA
0084;FONOAUDIOLOGO(A)
0087;ELETRICISTA
0090;TEC EPIDEMIOLOGIA
0091;ALMOXARIFE
0097;AUX.DE SECRETARIA
0101;TEC.ENFERM.
0104;SEC.DE SAUDE
0105;ODONTOLOGO(A)
0106;BIOQUIMICO(A)
0115;SEC.DESP/CULTURA
0119;FARMACEUTICO BIOQUIMICO
0120;DIRETOR GERAL
0122;ENG.AGRONOMO
0123;REGENTE DE BANDA
0125;INSTRUTOR MUSICA
0130;TEC.AGROINDUSTRIA
0136;NUTRICIONISTA
0138;OPERADOR.EMB.LEVE
0139;OPERADOR MAQ.PESAD
0141;MEDICO VETERIN(A)
0149;AG.COMUN.SAUDE
0150;TESOUREIRO(A)
0154;GERENTE
0160;BIOMEDICO
0163;FISIOTERAPEUTA
0172;ATENDENTE DE CONSULTORIO DENTARIO
0174;MEDICO PEDIATRA
3332;DIRETOR
3335;AGENTE DE TRANSITO
3336;AUDITOR FISCAL DO TESOURO MUNICIPAL
3337;GER. DE UNID. DE SAÚDE URBANO
3338;DIRETOR ADMINISTRATIVO
3339;DIRETOR TÉCNICO
3340;SECRETARIO MUNICIPAL
